Author,Year,Group,Score Name,Number of patients,Raters,Time,Mean,Std,,,,,,,
VanDongen,2013,Control,ADHD rating scale,19,Parents,pre,18.2,3.4,,,,,,,
VanDongen,2013,Control,ADHD rating scale,19,Parents,post,13.8,3.1,,,,,,,
VanDongen,2013,Treatment,ADHD rating scale,22,Teachers,pre,13.1,7.5,,,,,,,
VanDongen,2013,Treatment,ADHD rating scale,17,Teachers,post,11.3,5.7,,,,,,,
VanDongen,2013,Control,ADHD rating scale,19,Teachers,pre,13.4,5.9,,,,,,,
VanDongen,2013,Control,ADHD rating scale,15,Teachers,post,11,4.8,,,,,,,
Arnold,2013,Treatment,SNAP-IV,26,Parents,pre,2.36,0.48,,,,,,,
Arnold,2013,Treatment,SNAP-IV,26,Parents,post,1.95,0.82,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Parents,pre,2.19,0.42,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Parents,post,1.66,0.68,,,,,,,
Arnold,2013,Treatment,SNAP-IV,26,Teachers,pre,2.22,0.69,,,,,,,
Arnold,2013,Treatment,SNAP-IV,26,Teachers,post,1.91,0.74,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Teachers,pre,1.81,0.68,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Teachers,post,1.26,0.74,,,,,,,
Linden,1996,Treatment,IOWA Conners,9,Parents,pre,11.33,3,,,,,,,
Linden,1996,Treatment,IOWA Conners,9,Parents,post,8.11,3,,,,,,,
Linden,1996,Control,IOWA Conners,9,Parents,pre,12,3,,,,,,,
Linden,1996,Control,IOWA Conners,9,Parents,post,12.44,3,,,,,,,
Steiner,2011,Treatment,Conners Rating Scales Revised,9,Parents,pre,76.1,11.3,,,,,,,
Steiner,2011,Treatment,Conners Rating Scales Revised,9,Parents,post,67.5,10.2,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Parents,pre,73.3,11.4,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Parents,post,71,14,,,,,,,
Steiner,2011,Treatment,Conners Rating Scales Revised,9,Teachers,pre,55.5,11.6,,,,,,,
Steiner,2011,Treatment,Conners Rating Scales Revised,9,Teachers,post,55.4,11.6,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Teachers,pre,58.7,7,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Teachers,post,59.8,10,,,,,,,
Strelh,2017,Treatment,German ADHD rating scale,72,Parents,pre,2.03,0.53,,,,,,,
Strelh,2017,Treatment,German ADHD rating scale,73,Parents,post,1.64,0.59,,,,,,,
Strelh,2017,Control,German ADHD rating scale,67,Parents,pre,1.97,0.51,,,,,,,
Strelh,2017,Control,German ADHD rating scale,68,Parents,post,1.8,0.48,,,,,,,
Strelh,2017,Treatment,German ADHD rating scale,68,Teachers,pre,1.69,0.7,,,,,,,
Strelh,2017,Treatment,German ADHD rating scale,70,Teachers,post,1.59,0.7,,,,,,,
Strelh,2017,Control,German ADHD rating scale,63,Teachers,pre,1.68,0.72,,,,,,,
Strelh,2017,Control,German ADHD rating scale,64,Teachers,post,1.6,0.68,,,,,,,
